uri,url,title,body,lang,source_title,dateTime,date,time
8809691303,https://newspim.com/news/view/20250811000003,"[중국증시 주간 포인트] 7월 실물경제 지표, 남하자금 최초 9천억 HKD, 로봇 이벤트 봇물","이 기사는 8월 11일 오전 06시00분 '해외 주식 투자의 도우미' GAM(Global Asset Management)에 출고된 프리미엄 기사입니다. GAM에서 회원 가입을 하면 9000여 해외 종목의 프리미엄 기사를 보실 수 있습니다.

[서울=뉴스핌] 배상희 기자 = 중국 주요 증권∙경제 전문 매체들은 금주(8월11일~8월17일) 중국증시와 관련해 눈여겨볼 만한 소식으로 △7월 소비∙생산∙투자 실물경제 지표 공개 △연내 남하자금 유입액, 최초 9천억 HKD 돌파 △다채로운 로봇 산업 관련 이벤트 봇물 등을 꼽았다.

◆ 7월 소비∙생산∙투자 실물경제 지표 공개

1. 15일 국가통계국은 △제조업 동향 지표인 공업증가치(산업생산) △전자상거래∙백화점∙슈퍼마켓∙일반 소매점 등의 매출을 합산한 사회소비품소매총액(소매판매) △부동산∙제조업∙인프라 경기를 보여주는 고정자산투자 등 중국의 전반적인 경기동향 파악할 수 있는 실물경제 지표의 7월분 데이터를 공개할 예정.

2. 6월 사회소비품소매총액의 전년 동기 대비 증가율은 4.8%로 둔화. 특히, 6월 외식업 매출이 전년 동기 대비 0.9% 증가하는데 그쳐, 전달(5.9%) 대비 크게 둔화됨.

6월 공업증가치는 6.8% 상승. 특히 신에너지차와 공업용 로봇 생산량 증가 속도가 확대. 6월에는 41개 대분류 산업 중 36개 산업의 증가율이 전년 동기 대비 상승함. 그 중 전기기계 및 기기 제조업, 컴퓨터∙통신 및 기타 전자기기 제조업의 생산량이 빠르게 상승.

3. 1~6월 고정자산투자는 전년 동기대비 2.8% 증가했으나, 그 중 부동산개발투자는 전년 동기 대비 11.2% 하락함. 신규 상품방(商品房, 분양주택과 상업용 점포 등 매매 가능한 모든 형태의 건물을 총칭) 판매면적은 전년 동기 대비 3.5% 하락해 1~5월보다 낙폭이 0.6% 포인트 확대. 신규 상품방 판매액은 전년 동기 대비 5.5% 감소.

[홍콩 신화사 = 뉴스핌 특약] 홍콩증권거래소 내의 시세전광판.

◆ 연내 남하자금 유입액, 최초 9천억 HKD 돌파

1. 올해 들어 중국 본토 A주에서 홍콩증시로 유입되는 투자금을 의미하는 남하자금(南下資金∙남향자금으로도 불림, 중국 본토 A주에서 홍콩증시로 유입되는 자금)이 최초로 9000억 홍콩달러(HKD, 약 160조원)를 돌파. 중국 본토 투자자들의 홍콩증시에 대한 관심을 방증.

2. 지난주(8월 4일~8월 8일) 남향자금 순유입 규모는 217억5100만 HKD로, 전주 대비 63.15% 감소함. 다만, 올해 들어 누적 순유입액은 9008억 HKD를 기록하며 최초로 9000억 HKD를 넘어섬.

3. 중은국제(中銀國際) 연구보고서는 강구퉁(港股通, 상하이와 선전 증권거래소를 통한 홍콩 주식 거래) 제도가 지속적으로 심화되면서, 남하자금이 홍콩 증시의 중요한 추가 자금원으로 자리잡았다고 분석함. 특히, 중국 본토 자본을 배경으로 둔 중국테마주(中概股, 해외 시장에 상장한 중국기업 종목) 중에서도 신경제(新經濟, ICT 기술을 기반으로 생산성을 높이는 경제) 방향에 부합하는 종목과 섹터로의 자금 유입세 뚜렷.

4. 거래 순매수 금액 기준으로 보면, 대다수 대형 기술주로 남하자금의 유입 확대.

그 중 알리바바(9988.HK)의 경우 지난주 남하자금 순매수액이 33억3900만 HKD로 가장 높아. 알리바바는 4주 연속 남하자금 보유량이 증가했으며, 최신 보유 주식 수는 15억7900만 주로 홍콩 증시 전체 발행주식수의 8.26%를 차지함. 이밖에 텐센트홀딩스(0700.HK), 샤오미(1810.HK), SMIC(0981.HK) 역시 같은 기간 10억 HKD 이상의 순매수액을 기록함.

▶ 이슈 관련 주목할 종목 : 알리바바(9988.HK), 텐센트홀딩스(0700.HK), 샤오미(1810.HK), SMIC(0981.HK)

[서울=뉴스핌] 배상희 기자 2025.07.24 pxx17@newspim.com

◆ 다채로운 로봇 산업 관련 이벤트 봇물

1. 13일~15일 '중국 임바디드 인텔리전스(Embodied Intelligence, 지능이 두뇌뿐 아니라 신체·환경과의 상호작용에서 비롯된다는 개념으로, 로봇은 대표적 산업으로 꼽힘) 로봇 산업 대회 및 전람회' 개최 예정

이번 대회는 로봇 원자재 및 부품 공급업체, 시스템 통합 업체, 시뮬레이션 및 테스트 분야에서부터 완제품 제조에 이르기까지 임바디드 인텔리전스 산업체인 전반에 관련한 업체들이 참여할 예정.

2. 15~17일에는 베이징 냐오차오(鳥巢) 국가체육관과 스피드스케이팅 경기장인 빙쓰다이(冰絲帶)에서 '2025 세계 휴머노이드 로봇 운동회' 개최.

3. 앞서 8일부터 오는 12일까지는 베이징 경제기술개발구 이창(亦創) 국제컨벤션센터에서 '2025년 세계 로봇 컨퍼런스(2025 World Robot Conference, WRC)' 및 '2025년 세계 로봇 엑스포(2025 World Robot EXPO, WRE)' 등 개최.

pxx17@newspim.com",kor,뉴스핌,2025-08-10T21:21:03Z,2025-08-10,21:21:03
8782070506,https://www.21jingji.com/article/20250723/herald/01228f5cebc65fe09c8cee3b74bda30d.html,"观深圳
                                38家深企上榜《财富》中国500强，腾讯、平安最赚钱","7月22日，2025年《财富》中国500强排行榜发布，共有38家深圳企业上榜，中国500强含""深""量持续显现。

中国平安（601318.SH、2318.HK）、华为、比亚迪（002594.SZ、1211.HK）、腾讯（0700.HK）、招商银行（600036.SH、3968.HK）、万科（2202.HK）、顺丰（002352.SZ）、深投控8家深企进入前100名单，其中，中国平安排名第13位，也是粤港澳大湾区中排名最高的企业；腾讯、中国平安上榜最赚钱的企业前十名，今年新上榜有永道控股集团、瑞声科技（2018.HK）、广深铁路股份（601333.SH、0525.HK）3家企业。

从行业分布看，深圳上榜企业呈多元布局且聚焦新兴产业，尤其是新能源企业表现亮眼，比亚迪相较去年排名上升13名，跻身深企前三，欣旺达（300207.SZ）、格林美（002340.SZ）等新能源细分领域企业排名也大幅提升，分别提升33、43名。此外，依托深圳多年来在消费电子、智能制造的产业优势，鹏鼎控股（002938.SZ）、传音控股（688036.SH）、汇川技术（300124.SZ）等企业排名相较去年大幅提升。

事实上，从上榜中国500强的深企行业构成和排名变化中，可以一窥深圳经济发展的新动能、新风向。

今年500家上榜的中国公司在2024年的总营业收入达到14.2万亿美元；净利润达到7564亿美元，较上年增长约7%。

深圳共有8家企业进入前100名单，包括中国平安、华为、比亚迪、腾讯、招商银行、万科、顺丰和深投控，也是粤港澳大湾区中上榜企业数量最多的城市。

其中，中国平安排名第13位，也是粤港澳大湾区中排名最高的企业，2024年营业收入达1586.27亿美元，利润达175.96亿美元。

尽管中国平安主业是金融，但在新一轮科技浪潮叙事下，企业同样注重人工智能前沿领域的科技投入。据平安集团年报，2024年，平安研发费用达180亿元，拥有2.1万名科技开发人员及3000名科学家。目前人工智能已在平安主业的各个环节全面铺开，2024年中国平安AI坐席服务量约18.4亿次，覆盖平安80%的客服总量。

与中国平安一样上榜榜单上最赚钱的前十企业还有腾讯。榜单显示，腾讯2024年的净利润同比增长超过65%，以超过269亿美元的净利润排在利润榜第6位。

目前，腾讯正通过战略性投资布局文娱传媒、游戏、人工智能等多个领域，投资板块曾一度贡献腾讯三分之一利润。依托微信生态内的丰富应用场景，腾讯正持续加码AI产业，其AI战略也正进入重投入期。

华为在深圳榜单中位列第二，面临外部挑战，依靠强大的研发实力，企业自主研发出全栈芯片及原生鸿蒙操作系统，在智能汽车、终端业务等板块均呈现出强势增长势头。去年华为全球销售收入8621亿元，营收同比增长22.42%，营收实现华为史上第二高，增速也相比上一年明显加速。

据统计，2024年华为研发投入达1797亿元，约占全年收入的20.8%。截至2024年底，研发员工约11.3万名，占总员工数量的54.1%，在全球共持有有效授权专利超过15万件。

深耕新能源汽车领域的比亚迪，今年排名相较去年上升13名。近年来其全球化布局全面提速，业务遍及全球6大洲、110多个国家和地区，2024年全球累计销售新能源汽车427.21万辆，蝉联全球新能源车市场销量冠军。2024年，比亚迪研发投入金额达542亿元，占营业收入6.97%，走出产业与科技相互支撑的路径。

值得关注的是，上述四家引领行业发展的深圳巨头企业，也被业内誉为深圳创新""四姐妹""，正依托自身的科研技术影响力，构建起产业与科技双轮驱动的复合型创新生态体系。

截至7月23日收盘，腾讯控股（0700.HK）、比亚迪（1211.HK）、中国平安（2318.HK）总市值分别为5.06万亿港元、1.17万亿港元、1.09万亿港元。

深圳上榜企业中，有3家企业为首次上榜，分别是永道控股集团、瑞声科技和广深铁路股份。港股上市的瑞声科技在微型声学、精密光学等多个领域全球市场份额领先，2024年，瑞声科技营收273.3亿元，归母净利润为17.97亿元，同比增长142.7%。

广深铁路股份作为沪港两地上市企业，独立经营的深圳 -- 广州 -- 坪石铁路，营业里程481公里，纵向贯通广东省全境。今年一季度，广深铁路股份营业收入达68.96亿元，同比增长4.47%。

今年也有不少公司排名大幅上升，如汇川技术从去年的456名上升到今年的377名，上升79个名次，是今年深圳名单中排名提升最多的企业。格林美从去年的454名上升到今年的411名，鹏鼎控股从去年的437名上升到今年的397名。

从深圳上榜企业行业分布来看，产业结构多元且优化，入围企业覆盖电子信息、新能源、人工智能、现代物流、金融投资、银行与保险、生物医药等多个领域。

根据榜单，华为、中国电子、中兴通讯分别位列第24名、第105名、第187名，年利润均超过10亿美元，这些企业都是连年上榜，

这也是深圳电子信息产业发展的一个缩影。深圳是全球电子信息产业重镇，目前，深圳规上电子信息制造企业超过4100家，2023年产值达2.52万亿元，占全国六分之一，多年稳居内地城市首位。

以电子信息产业为支柱，深圳正滚动发展""20+8""产业集群，抢抓新能源、智能网联汽车、具身智能机器人等产业新风口，提升产业竞争力。

2024年，深圳规上工业总产值超5.4万亿元，规上工业增加值同比增长9.7%，连续3年稳居中国""工业第一城""。

在榜单中，新能源领域企业表现亮眼，尤其是在新型储能、动力电池等细分领域。主营动力电池回收和新能源材料制造的格林美今年排名上升43个名次。采取资本并购、合资建厂、海外上市融资等多种形式进行全球化布局是格林美的核心竞争力。近期，格林美与韩国最大NCA正极材料公司ECOPRO达成协议共建印尼IGIP园区，韩国也将成为格林美链接欧美客户的中转站。

在榜单中从去年的332名前进到今年的299名的欣旺达，跻身全球动力电池装机量前十、中国企业全球储能电芯出货量前十，储能系统（直流侧）全球市场出货量前五。2024年公司营收突破560亿元，动力电池、储能业务增速分别超40%、70%。

当前，深圳正加快发展人工智能与机器人产业。值得注意的是，欣旺达也是3C消费类电池领域的隐形冠军，目前正在进行机器人电池突围，通过聚合物固态电解质路线切入人形机器人领域，其提供的固态电池已在GoMate项目中实现搭载，并在量产推进中。

另外，同样有布局机器人业务的汇川技术则是在深圳榜单中排名进步最为显著的企业。目前，汇川技术机器人产品系列不断完善，2024年，企业正式布局人形机器人业务，启动高性能关节部件样机等部分核心零部件研发工作。2024年全年，汇川技术营业总收入同比增长22%，营业净利润达42.9亿元。

不过，在关注上榜企业的同时，也需要看到，作为全国创业密度高的城市，深圳在新经济风口抢抓机遇，企业在新兴产业赛道上发力，榜单外追逐新动能的深企依然潜力无限。

有如在机器人领域，近期，逐际动力获得京东战略领投，众擎机器人完成近10亿元两轮融资，优必选斩获9051万元全球最大人形机器人订单；今年上半年，深圳集成电路产业规模达1424亿元，同比增长16.9%，产业链上包括江波龙、佰维存储、德明利、天德钰、中科蓝讯等企业正通过产业协同进行技术突破与提升。

未来，《财富》榜单里的深企队伍持续扩大仍值得期待。",zho,21jingji.com,2025-07-23T09:46:38Z,2025-07-23,09:46:38
2025-08-813014624,https://www.reuters.com/sports/saudi-backed-esports-foundation-debut-nations-cup-riyadh-next-year-2025-08-23/,Saudi-backed esports foundation to debut Nations Cup in Riyadh next year,"Aug 23 (Reuters) - The Saudi-backed foundation behind the Esports World Cup is betting on national pride to fuel its next phase of growth with a new biennial tournament starting next year.

The Esports Nations Cup will debut at the end of 2026 in Saudi Arabia's capital Riyadh, the Esports World Cup (EWC) Foundation said on Saturday, without naming the participants.

Unlike the annual world cup with its club-based format, the new tournament will feature national teams and be held every two years.

The cup is part of Saudi's ""Vision 2030"" strategy to diversify beyond oil, with big investments in gaming and other sports, among other sectors. Critics have, however, called the push ""sportswashing"" due to the country's human rights record.

""There is much more potential to grow. There is a void in national representation and national pride will bring additional fans and players and cultural engagement,"" Ralf Reichert, the foundation's CEO, told Reuters.

Reichert said the prize pool would be ""comparable"" to the $70 million lot for the Esports World Cup's second edition, set for its finale on Sunday.

Its hours watched have jumped 52% to 270 million over the inaugural edition, while over 2 million have attended in person.

Such tournaments are crucial for pro-gamers as prominent esports brands struggle with finances. Some of the tournaments have also included post-pandemic favorites such as chess.

For ENC, the foundation has partnered with video game publishers Electronic Arts (EA.O), opens new tab, Krafton (259960.KS), opens new tab, Tencent (0700.HK), opens new tab and Ubisoft (UBIP.PA), opens new tab.

""(The publishers) have the data on what's happening on the server. So identifying in each country who are the best players ... then figuring out who's the national coach will be done together with a publisher,"" Reichert said.

For future editions, the host cities will rotate to ""where the sport is popular and can mobilize the masses,"" he added.

Reporting by Zaheer Kachwala in Bengaluru; Editing by Sahal Muhammed

Our Standards: The Thomson Reuters Trust Principles., opens new tab",eng,Reuters,2025-08-23T11:19:56Z,2025-08-23,11:19:56
8827172903,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=1cc2ff22-0613-4736-878f-11d20c23efad,《陸股》滬指漲1.45% 站上3800點/創10年來新高-MoneyDJ理財網,"中國滬深兩市三大指數今(22)日開盤漲跌互見，在AI晶片及算力股走高，以及鈦白粉、稀土永磁概念活躍的帶動下，各指數均震盪走揚。滬指終場站上3800點、收漲1.45%，連續三日走揚，創下10年來新高(2015/8/17)，本週漲3.49%。

上證指數今收於3825.76點，上漲54.66點或1.45%；深證成指收於12166.06點，上漲246.30點或2.07%；創業板指收於2682.55點，上漲87.08點或3.36%；科創50收於1247.86點，上漲98.71點或8.59%；中證A500收於5198.91點，上漲109.57點或2.15%。

以週線來看，上證指數本週漲3.49%、深證成指漲4.57%、創業板指漲5.85%、科創50漲13.31%、中證A500漲4.27%，週K均連3紅。

成交量方面，滬市今成交約1兆951億元(人民幣,下同)，深市成交約1兆4,516億元，兩市成交額2兆5,467億元，較前一交易日量增約5%，連續八日突破2兆。

從盤面上來看，電子、電腦、通信、國防軍工、非銀金融等類股漲幅居前；農林漁牧、銀行、鋼鐵、石油石化、煤炭等則跌幅居前。概念股中，半導體、CPO、證券、算力等概念股漲幅居前；瓦斯、鋼鐵、銀行、乳業等則跌幅居前。

香港恆生指數今早續開高0.4%，隨後震盪走揚，全日維持在高檔。盤面上，恆生科技指數漲2.71%，科網股漲多跌少，快手(1024.HK)漲逾4%，小米(1810.HK)漲逾2%，美團(3690.HK)、騰訊(0700.HK)、阿里巴巴(9988.HK)漲逾1%，嗶哩嗶哩(9626.HK)跌逾6%，聯想(0992.HK)跌逾2%。恆指終場收於25339.14點，上漲234.53點或0.93%；以週線來看，本週漲0.27%、週K連3紅。",zho,MoneyDJ理財網,2025-08-22T09:19:11Z,2025-08-22,09:19:11
2025-08-811964270,https://www.reuters.com/world/china/starbucks-expects-non-binding-bids-china-business-within-two-weeks-sources-say-2025-08-22/,"Starbucks expects non-binding bids for China business within two weeks, sources say","HONG KONG, Aug 22 (Reuters) - Starbucks (SBUX.O), opens new tab has asked a short-listed group of potential bidders to submit non-binding bids for a stake in its China business within the next two weeks, two people with knowledge of the matter said.

The U.S. coffee shop chain invited interested parties including private equity firms Carlyle (CG.O), opens new tab, EQT (EQTAB.ST), opens new tab, Hillhouse Investment and Primavera Capital to attend management presentations where it would disclose financial and operational details of its China business, said one of the people as well as a third person with knowledge of the presentations.

Other potential bidders include Bain Capital, KKR & Co (KKR.N), opens new tab and technology major Tencent (0700.HK), opens new tab, said one of the first two sources and two other people familiar with the matter.

A new partner in China could add impetus to a business whose market share has more than halved in the past five years, as low-price local rivals grow apace while consumers become increasingly cost-conscious in a stuttering economy.

In May this year, Starbucks began the sale by inviting interested parties to answer questions about their businesses by late June, Reuters previously reported.

The Seattle-based company said at the time it was not considering a full sale of the business - which bidders expect will be valued at up to $10 billion, CNBC reported citing sources.

In July, it selected up to 10 interested parties and signed non-disclosure agreements ahead of granting potential access to financial and operational figures, the five people said.

It has yet to finalise the structure of the sale or size of the stake, said the people, who declined to be identified as the information was not public.

The cafe chain has held informal talks with a range of potential buyers since the second half of last year and aims to reach a deal by year-end, sources previously told Reuters.

CEO Brian Niccol on Starbuck's quarterly earnings call last month said the cafe chain had received interest from more than 20 parties and was evaluating options.

""We remain committed to our China business and want to retain a meaningful stake... We will only enter a transaction if it makes sense for Starbucks,"" said Niccol, CEO since August last year.

Starbucks on Friday declined to comment further.

Primavera, Carlyle, EQT, KKR and Bain declined to comment. Hillhouse and Tencent did not respond to requests for comment.

Starbucks is pursuing the sale after reporting strong overall revenue for the three months through June 29 under a turnaround plan Niccol implemented after several quarters of falling earnings.

Net revenue rose 3.8% to $9.46 billion, slightly exceeding the average analyst estimate, though same-store sales fell for a sixth consecutive quarter, by 2%.

In China, Starbucks faces sluggish economic growth and competition from local brands such as Luckin Coffee (LC0Ay.D), opens new tab, which has gained market share with cheaper products and greater presence in smaller cities.

Starbucks' market share in the world's second-largest economy - home to more than a fifth of its cafes - was 14% last year versus 34% in 2019, showed data from market researcher Euromonitor International.

The chain has since taken the rare step of reducing prices for some non-coffee drinks in China and increased the pace of new and China-centric product innovation.

Comparable-store sales in China increased 2% in the quarter ended June 29 versus zero growth in the previous quarter.

Starbucks operated 7,828 stores in China as at June-end, its latest quarterly report showed. It did not disclose core earnings at its China business.

Reporting by Kane Wu and Julie Zhu in Hong Kong; Additional reporting by Casey Hall in Shanghai; Editing by Christopher Cushing

Our Standards: The Thomson Reuters Trust Principles., opens new tab

* Suggested Topics:

* Emerging Markets

Kane Wu

Thomson Reuters

Kane Wu covers M&A, private equity, venture capital and investment banks in Asia. She tracks the region's most high-profile deals, fundraisings as well as investment trends amidst geopolitical, macroeconomic and regulatory changes. She was nominated for a SOPA Excellence in Business Reporting award for coverage of China regulatory crackdown in 2021. Prior to Reuters, she worked at the Wall Street Journal and also wrote about Asia's loan market for Thomson Reuters Basis Point. She is based in Hong Kong.

Julie Zhu

Thomson Reuters

Julie Zhu is a Hong Kong-based Senior Correspondent for Reuters, focusing on financial news and corporate deals across Greater China. Her coverage spans regulatory policies, M&A, IPOs, private equity and financial institutions. Since joining Reuters in 2016, Julie has been at the forefront of covering the region's significant events including China's unprecedented regulatory crackdown and Beijing's COVID response policies. She was named Reuters' Reporter of the Year in 2021. Previously, Julie worked at the Financial Times where she reported on business and general news about South China and Hong Kong.",eng,Reuters,2025-08-22T07:21:57Z,2025-08-22,07:21:57
8826766394,https://hkstock.hexun.com/2025-08-22/221045937.html,腾讯控股：8月22日涨超2%，二季度多项业绩超预期-股票频道-和讯网,"【8月22日股价拉升创2021年3月以来新高，年内累涨46%】 <>8月22日，(0700.HK)股价拉升，涨幅超2%，报606.5港元，创2021年3月以来新高，年内累计涨幅达46%。此前公布的业绩显示，2025年二季度，收入1845.04亿元，同比增15%、环比增2%，高于预估的1789.4亿元。毛利1050.13亿元，同比增22%、环比增4%；本公司权益持有人应占盈利556.28亿元，同比增17%、环比增16%，高于预期的508.3亿元。非国际财务报告准则下，本公司权益持有人应占盈利为630.52亿元，同比增10%、环比增3%，高于预估的620.2亿元。

本文由 AI 算法生成，仅作参考，不涉投资建议，使用风险自担",zho,hkstock.hexun.com,2025-08-22T03:25:29Z,2025-08-22,03:25:29
8826739588,https://www.moneycontrol.com/news/business/nvidia-halts-china-only-h20-chip-production-what-s-behind-the-sudden-pause-13478532.html,Nvidia halts China-only H20 chip production; what's behind the sudden pause?,"Nvidia instructed Arizona-based Amkor Technology, opens new tab to stop production of the H20 chips this week and also notified South Korea's Samsung Electronics.

Nvidia, opens new tab has told some component suppliers to suspend production of its H20 AI chip, designed specifically for the Chinese market, the Information reported on Thursday, citing two people with direct knowledge of the communications.

According to the report, Nvidia instructed Arizona-based Amkor Technology, opens new tab to stop production of the H20 chips this week and also notified South Korea's Samsung Electronics.

Amkor handles advanced packaging for the chip, while Samsung Electronics supplies high-bandwidth memory chips for the model.

Neither companies immediately responded to a Reuters request for comment.

Meanwhile, Nvidia spokesperson said in a statement, ""We constantly manage our supply chain to address market conditions.""

""As both governments recognise, the H20 is not a military product or for government infrastructure. China won't rely on American chips for government operations, just like the U.S. government would not rely on chips from China,"" it said.

This comes as Chinese authorities last week summoned domestic companies, including major internet firms Tencent (0700.HK), opens new tab and ByteDance, over their H20 chip purchases, expressing concerns over information risks.",eng,MoneyControl,2025-08-22T02:56:24Z,2025-08-22,02:56:24
8826735023,http://news.cnfol.com/zhengquanyaowen/20250822/31568514.shtml,腾讯控股涨超2%重上600港元，为2021年3月以来首次！年内累涨46%，二季度盈利为630.52亿元，同比增长10%,"格隆汇8月22日｜腾讯(0700.HK)拉升涨超2%，报606.5港元，股价创2021年3月以来新高；腾讯年内累涨46%。

腾讯此前公布业绩显示，2025年二季度收入1845.04亿元，同比增长15%，环比增长2%，高于预估的1789.4亿元；毛利1050.13亿元，同比增22%，环比增长4%；本公司权益持有人应占盈利556.28亿元，同比增长17%，环比增长16%，高于预期的508.3亿元；非国际财务报告准则本公司权益持有人应占盈利为630.52亿元，同比增长10%，环比增长3%，高于预估的620.2亿元。 　　(责任编辑：宋政 HN002)

【免责声明】本文仅代表作者本人观点，与和讯网无关。和讯网站对文中陈述、观点判断保持中立，不对所包含内容的准确性、可靠性或完整性提供任何明示或暗示的保证。请读者仅作参考，并请自行承担全部责任。邮箱：news_center@staff.hexun.com",zho,China Finance Online,2025-08-22T02:52:09Z,2025-08-22,02:52:09
2025-08-811759048,https://www.reuters.com/world/china/nvidia-orders-suppliers-halt-work-china-focussed-h20-ai-chip-information-says-2025-08-22/,"Nvidia orders suppliers to halt work on China-focussed H20 AI chip, The Information says","Aug 21 (Reuters) - Nvidia (NVDA.O), opens new tab has told some component suppliers to suspend production of its H20 AI chip, designed specifically for the Chinese market, the Information reported on Thursday, citing two people with direct knowledge of the communications.

According to the report, Nvidia instructed Arizona-based Amkor Technology (AMKR.O), opens new tab to stop production of the H20 chips this week and also notified South Korea's Samsung Electronics (005930.KS), opens new tab.

Amkor handles advanced packaging for the chip, while Samsung Electronics supplies high-bandwidth memory chips for the model.

Neither companies immediately responded to a Reuters request for comment.

Meanwhile, Nvidia spokesperson said in a statement, ""We constantly manage our supply chain to address market conditions.""

""As both governments recognise, the H20 is not a military product or for government infrastructure. China won't rely on American chips for government operations, just like the U.S. government would not rely on chips from China,"" it said.

This comes as Chinese authorities last week summoned domestic companies, including major internet firms Tencent (0700.HK), opens new tab and ByteDance, over their H20 chip purchases, expressing concerns over information risks.

Reporting by Yazhini MV in Bengaluru; Editing by Sumana Nandy

Our Standards: The Thomson Reuters Trust Principles., opens new tab",eng,Reuters,2025-08-22T01:22:45Z,2025-08-22,01:22:45
2025-08-811321513,https://www.boursorama.com/bourse/actualites/pourquoi-la-propriete-intellectuelle-des-contenus-asiatiques-gagne-le-public-mondial-d60854d3a16c88806d7f043f6fcbe455,Pourquoi la propriété intellectuelle des contenus asiatiques gagne le public mondial,"((Traduction automatisée par Reuters à l'aide de l'apprentissage automatique et de l'IA générative, veuillez vous référer à l'avertissement suivant: https://bit.ly/rtrsauto))

*

Baisse des indices boursiers américains: Dow Jones en baisse de ~0,5%

*

Les biens de consommation de base sont les plus faibles parmi les secteurs du S&P 500

*

Les demandes d'allocations chômage aux États-Unis atteignent leur niveau le plus élevé depuis juin

*

STOXX 600 en baisse de ~0,3%

*

Hausse du dollar et du brut; baisse du bitcoin de ~1%, baisse de l'or

*

Le rendement du Trésor américain à 10 ans a augmenté de ~4,32%

21 août - Bienvenue sur le site de la couverture en temps réel des marchés par les journalistes de Reuters. Vous pouvez nous faire part de vos réflexions à l'adresse suivante: .

POURQUOI LA PROPRIÉTÉ INTELLECTUELLE DES CONTENUS ASIATIQUES GAGNE DES AUDIENCES MONDIALES

Alors que la distribution sur Internet devient de plus en plus banalisée et que la croissance de la consommation mondiale de médias ralentit, les analystes de Bernstein affirment que l'accent se déplace vers un contenu différencié de première partie IP (propriété intellectuelle).

Dans ce contexte, les créateurs de contenu asiatiques, en particulier au Japon, en Corée et en Chine, gagnent en importance au niveau mondial, non seulement en raison de la résonance culturelle, mais aussi en raison des avantages structurels en termes de coûts et de productivité.

Selon Bernstein, les sociétés occidentales de médias et de jeux sont confrontées à des coûts de production plus élevés, ce qui conduit souvent à des stratégies de contenu plus conservatrices.

Les studios ont tendance à s'appuyer sur des suites et des franchises établies, ce qui limite la prise de risque créative et contribue aux signes de lassitude chez les jeunes publics, en particulier avec les anciennes propriétés intellectuelles telles que Marvel et Assassin's Creed, notent les analystes.

Les studios asiatiques, en revanche, peuvent se permettre de prendre davantage de risques créatifs en raison des coûts de main-d'œuvre moins élevés. Ils peuvent essayer de nouvelles idées, itérer plus rapidement et absorber les échecs plus facilement, car chaque heure de travail coûte moins cher.

Au fil du temps, cette approche fondée sur l'essai et l'erreur a plus de chances de déboucher sur des succès retentissants et sur une propriété intellectuelle de grande qualité.

Le Labubu de Pop Mart 9992.HK en est un excellent exemple: ce qui n'était au départ qu'un objet de collection de niche est devenu un symbole de statut parmi les jeunes consommateurs.

Mercredi, le directeur général de Pop Mart, Wang Ning, a déclaré que son entreprise de jouets était en bonne voie pour atteindre son objectif de 20 milliards de yuans (2,78 milliards de dollars) en 2025, et que ""30 milliards de yuans (4,18 milliards de dollars) cette année devraient également être assez faciles"", ce qui souligne le succès commercial de ce type de propriété intellectuelle.

Le rapport souligne également l'empreinte mondiale croissante des médias asiatiques.

Les contenus non anglophones représentent désormais plus de la moitié du catalogue américain de Netflix NFLX.O , la Corée, le Japon et l'Espagne devenant des sources clés de programmes originaux. Des titres tels que Squid Game, One Piece, Demon Slayer et KPop Demon Hunters de Sony ont connu un succès bien au-delà de leurs marchés nationaux, reflétant l'attrait mondial de la propriété intellectuelle asiatique innovante.

""Les industries des médias et des jeux vidéo se sont consolidées au fil du temps, et nous nous attendons à ce que les principales plateformes comme Tencent 0700.HK , Sony 6758.T , Netflix - et les créateurs de contenu comme Nintendo 7974.T et autres - continuent à connaître le succès"", ont déclaré les analystes.

""Comme pour les jeux vidéo, nous nous attendons à ce que l'IA joue un rôle croissant dans l'accélération de la production de contenu médiatique"".

(Joel Jose)

*****

PLUS TÔT SUR LES MARCHÉS EN DIRECT:

GOLDMAN PARIE GROS SUR LE BOOM DE L'USDC; TETHER PERD-IL SON EMPRISE? CLIQUEZ ICI

L'EFFET DU BIAIS DOVISH DE TRUMP CLIQUEZ ICI

LE PROBLÈME DE LA CROISSANCE DES BÉNÉFICES EN EUROPE CLIQUEZ ICI

LA SÉCURITÉ EN SUISSE CLIQUEZ ICI

POURQUOI WALL ST EST-IL EN BAISSE? C'EST UNE ROTATION, BÉBÉ CLIQUEZ ICI

LES ACTIONS EUROPÉENNES CHERCHENT UNE DIRECTION AVANT LA RÉUNION DES BANQUES CENTRALES CLIQUEZ ICI

LES CONTRATS À TERME SONT MITIGÉS AVANT L'OUVERTURE DE JACKSON HOLE CLIQUEZ ICI

L'OUVERTURE DE JACKSON HOLE SE FERA DANS L'OMBRE DE TRUMP CLIQUEZ ICI",fra,Boursorama,2025-08-21T14:04:08Z,2025-08-21,14:04:08
